Date,close,atr,atr_sma,adx,plus_di,minus_di,direction,volatility,regime,action,activation
2020-05-15,1.2233912944793701,0.014369485434730671,0.020004317628311497,12.86152110501153,14.461047654158591,25.630072960889546,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-18,1.2085760831832886,0.01439924534863785,0.020049070337739443,14.133236724066764,13.400362865650656,25.253901757000776,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-19,1.2200031280517578,0.014681987434047472,0.02009330063002799,14.767688034808124,14.392678989672032,22.998456332769013,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-20,1.2255953550338745,0.01425429483981602,0.02011538344918789,15.144908248456378,14.649423678142485,21.99647624388408,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-21,1.2236906290054321,0.013732211866202626,0.020093415846348037,15.787570883058235,14.12020813799273,23.10788276530449,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-22,1.2223445177078247,0.01327653314505977,0.020023867878811913,16.566512494637784,13.561640458575898,23.43781347244265,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-25,1.218605637550354,0.012745629191295387,0.01991800919284889,17.28981541967594,13.117496216127075,22.67022418697445,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-26,1.220137119293213,0.013097491698509814,0.01978915730859275,16.060426468481644,20.517526039830283,20.485392010739183,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-27,1.23350191116333,0.013218866138344911,0.01961633821093657,14.918851013801225,18.877054821206983,18.847490056546693,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-28,1.2264822721481323,0.012986162058861255,0.019377977264017607,13.85881666302655,17.84279723115511,17.81485229451024,Sideways,Quiet,Sideways Quiet,proceed,active
2020-05-29,1.2321492433547974,0.012968333262812921,0.019111660006300303,13.493533165905946,19.739924777981074,16.565105197935893,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-01,1.2347996234893799,0.013210061907906885,0.018854669777731384,14.012749660304777,23.013927287727167,15.100412966019233,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-02,1.248704433441162,0.0138911724347312,0.018619109039245883,15.181939728270535,24.972415241217174,13.334296005473723,Sideways,Quiet,Sideways Quiet,proceed,active
