time,open,high,low,close,volume
2024-11-15 00:00:00+00:00,2565.12,2576.05,2554.58,2561.78,100256
2024-11-18 00:00:00+00:00,2564.94,2615.02,2564.79,2611.72,97519
2024-11-19 00:00:00+00:00,2611.74,2639.4,2610.23,2632.11,96397
2024-11-20 00:00:00+00:00,2632.0,2655.35,2618.91,2650.08,94155
2024-11-21 00:00:00+00:00,2649.8,2673.47,2648.63,2669.41,94033
2024-11-22 00:00:00+00:00,2669.66,2715.5,2668.21,2715.34,102746
2024-11-25 00:00:00+00:00,2692.25,2721.31,2615.6,2625.46,105609
2024-11-26 00:00:00+00:00,2625.01,2641.9,2604.86,2633.02,100386
2024-11-27 00:00:00+00:00,2630.47,2658.2,2627.0,2635.95,89383
2024-11-28 00:00:00+00:00,2637.8,2649.57,2620.92,2637.07,64090
2024-11-29 00:00:00+00:00,2637.58,2666.37,2634.03,2650.33,86260
2024-12-02 00:00:00+00:00,2652.01,2652.69,2621.86,2638.62,103110
2024-12-03 00:00:00+00:00,2639.23,2655.56,2634.11,2643.5,91928
2024-12-04 00:00:00+00:00,2643.29,2656.99,2632.31,2649.88,93798
2024-12-05 00:00:00+00:00,2649.6,2655.54,2623.52,2631.66,87579
2024-12-06 00:00:00+00:00,2631.76,2645.6,2612.32,2632.67,91127
2024-12-09 00:00:00+00:00,2643.88,2676.32,2627.57,2660.18,98808
2024-12-10 00:00:00+00:00,2660.85,2695.46,2657.93,2693.8,92398
2024-12-11 00:00:00+00:00,2693.98,2721.07,2674.85,2717.95,100382
2024-12-12 00:00:00+00:00,2717.58,2726.15,2675.03,2680.55,97260
2024-12-13 00:00:00+00:00,2681.0,2692.77,2645.68,2648.8,96541
2024-12-16 00:00:00+00:00,2650.72,2664.23,2643.52,2652.62,74306
2024-12-17 00:00:00+00:00,2652.65,2658.57,2633.03,2646.4,82723
2024-12-18 00:00:00+00:00,2646.32,2651.7,2583.62,2585.31,82407
2024-12-19 00:00:00+00:00,2585.48,2626.42,2582.92,2594.39,90171
2024-12-20 00:00:00+00:00,2594.75,2631.82,2589.69,2623.03,84572
