time,open,high,low,close,volume
2026-03-31 05:45:00+00:00,4586.96,4588.0,4565.59,4568.18,6210
2026-03-31 06:00:00+00:00,4568.2,4576.9,4565.97,4569.85,5427
2026-03-31 06:15:00+00:00,4569.84,4571.14,4556.1,4561.57,5158
2026-03-31 06:30:00+00:00,4561.57,4565.8,4550.63,4552.39,4089
2026-03-31 06:45:00+00:00,4552.39,4557.38,4550.26,4557.03,3633
2026-03-31 07:00:00+00:00,4557.03,4565.92,4557.03,4557.57,3540
2026-03-31 07:15:00+00:00,4557.57,4569.45,4557.15,4561.43,3782
2026-03-31 07:30:00+00:00,4561.43,4565.18,4559.99,4564.06,3408
2026-03-31 07:45:00+00:00,4564.06,4569.01,4561.08,4564.87,3657
2026-03-31 08:00:00+00:00,4564.89,4570.65,4547.84,4550.36,4445
2026-03-31 08:15:00+00:00,4550.39,4568.02,4550.08,4561.41,3812
2026-03-31 08:30:00+00:00,4561.44,4579.92,4558.74,4577.01,5546
2026-03-31 08:45:00+00:00,4577.01,4581.81,4567.05,4568.95,5276
2026-03-31 09:00:00+00:00,4568.95,4569.17,4556.47,4559.3,5752
2026-03-31 09:15:00+00:00,4559.42,4564.55,4553.27,4560.76,5758
2026-03-31 09:30:00+00:00,4560.76,4565.76,4556.08,4558.86,4733
2026-03-31 09:45:00+00:00,4558.86,4561.64,4554.3,4557.16,4193
2026-03-31 10:00:00+00:00,4557.16,4563.91,4550.09,4552.6,5068
2026-03-31 10:15:00+00:00,4552.6,4556.63,4543.24,4552.22,5375
2026-03-31 10:30:00+00:00,4552.22,4561.21,4551.93,4559.68,4535
2026-03-31 10:45:00+00:00,4559.68,4565.64,4556.87,4564.43,4928
2026-03-31 11:00:00+00:00,4564.43,4573.37,4560.4,4565.95,5981
2026-03-31 11:15:00+00:00,4565.95,4572.67,4564.72,4572.27,4844
2026-03-31 11:30:00+00:00,4572.32,4575.21,4567.65,4571.38,4610
2026-03-31 11:45:00+00:00,4571.39,4574.21,4567.07,4568.56,4408
2026-03-31 12:00:00+00:00,4568.56,4572.37,4562.96,4567.57,4197
2026-03-31 12:15:00+00:00,4567.55,4570.54,4561.25,4562.05,4366
2026-03-31 12:30:00+00:00,4562.11,4562.31,4550.19,4555.53,5914
2026-03-31 12:45:00+00:00,4555.59,4562.49,4551.62,4555.59,4801
2026-03-31 13:00:00+00:00,4555.59,4561.81,4555.16,4556.94,4472
2026-03-31 13:15:00+00:00,4556.94,4561.09,4555.69,4560.49,3687
2026-03-31 13:30:00+00:00,4560.48,4560.79,4529.49,4541.09,6567
2026-03-31 13:45:00+00:00,4541.11,4552.77,4540.24,4546.96,5677
2026-03-31 14:00:00+00:00,4546.94,4563.22,4541.01,4551.45,7010
2026-03-31 14:15:00+00:00,4551.45,4583.38,4549.49,4575.31,8023
2026-03-31 14:30:00+00:00,4575.31,4593.23,4568.77,4591.96,6852
2026-03-31 14:45:00+00:00,4591.96,4593.05,4576.72,4582.26,7005
2026-03-31 15:00:00+00:00,4582.26,4597.56,4574.62,4575.64,7232
2026-03-31 15:15:00+00:00,4575.64,4582.78,4571.33,4579.33,7880
2026-03-31 15:30:00+00:00,4579.33,4589.95,4577.55,4579.17,6121
2026-03-31 15:45:00+00:00,4579.19,4581.53,4569.15,4574.74,5817
2026-03-31 16:00:00+00:00,4574.74,4583.5,4567.84,4581.32,7287
2026-03-31 16:15:00+00:00,4581.32,4587.91,4573.15,4573.27,5896
2026-03-31 16:30:00+00:00,4573.27,4589.46,4568.43,4587.78,7832
2026-03-31 16:45:00+00:00,4587.78,4609.93,4585.15,4607.11,7919
2026-03-31 17:00:00+00:00,4607.03,4625.32,4603.8,4615.24,8961
2026-03-31 17:15:00+00:00,4615.24,4619.38,4602.78,4618.98,8376
2026-03-31 17:30:00+00:00,4618.98,4630.13,4604.18,4608.02,8437
2026-03-31 17:45:00+00:00,4608.01,4611.13,4594.99,4599.04,8311
2026-03-31 18:00:00+00:00,4599.04,4623.99,4599.04,4622.93,7624
2026-03-31 18:15:00+00:00,4622.94,4625.46,4607.75,4610.15,7555
2026-03-31 18:30:00+00:00,4610.15,4621.44,4607.16,4620.92,7496
2026-03-31 18:45:00+00:00,4620.92,4623.75,4608.13,4609.5,7079
2026-03-31 19:00:00+00:00,4609.5,4619.96,4606.95,4611.99,6244
2026-03-31 19:15:00+00:00,4611.99,4618.72,4609.32,4617.85,5412
2026-03-31 19:30:00+00:00,4617.85,4651.65,4615.13,4641.69,8480
2026-03-31 19:45:00+00:00,4641.69,4650.38,4630.98,4638.14,10869
2026-03-31 20:00:00+00:00,4638.21,4655.78,4636.36,4642.92,9232
2026-03-31 20:15:00+00:00,4642.92,4658.15,4640.71,4648.82,7483
2026-03-31 20:30:00+00:00,4648.82,4663.66,4645.55,4660.42,8239
2026-03-31 20:45:00+00:00,4660.42,4667.28,4653.38,4654.99,7482
2026-03-31 21:00:00+00:00,4654.6,4668.94,4653.59,4665.81,6567
2026-03-31 21:15:00+00:00,4665.77,4668.84,4659.91,4664.49,6184
2026-03-31 21:30:00+00:00,4664.49,4671.12,4660.0,4667.63,5874
2026-03-31 21:45:00+00:00,4667.61,4670.66,4663.68,4667.47,5106
2026-03-31 22:00:00+00:00,4667.47,4676.15,4661.83,4671.22,6554
2026-03-31 22:15:00+00:00,4671.22,4681.24,4668.59,4672.7,5483
2026-03-31 22:30:00+00:00,4672.76,4683.5,4672.25,4680.83,5333
2026-03-31 22:45:00+00:00,4680.83,4685.67,4679.5,4682.65,6035
2026-04-01 01:00:00+00:00,4667.56,4681.52,4662.91,4668.99,2696
2026-04-01 01:15:00+00:00,4668.96,4686.61,4663.08,4674.54,2996
2026-04-01 01:30:00+00:00,4674.54,4696.44,4671.12,4684.68,3851
2026-04-01 01:45:00+00:00,4684.68,4686.92,4661.63,4680.84,4763
2026-04-01 02:00:00+00:00,4680.84,4682.59,4672.85,4676.29,2945
2026-04-01 02:15:00+00:00,4676.29,4684.39,4671.91,4682.42,3154
2026-04-01 02:30:00+00:00,4682.35,4694.89,4681.81,4690.98,3417
2026-04-01 02:45:00+00:00,4690.98,4700.14,4688.43,4696.22,3843
2026-04-01 03:00:00+00:00,4696.26,4704.98,4693.42,4703.36,5213
2026-04-01 03:15:00+00:00,4703.36,4721.8,4702.66,4721.74,5434
2026-04-01 03:30:00+00:00,4721.74,4722.36,4700.05,4706.52,4657
2026-04-01 03:45:00+00:00,4706.52,4719.04,4704.55,4710.88,4695
2026-04-01 04:00:00+00:00,4710.88,4724.23,4689.56,4708.06,6917
2026-04-01 04:15:00+00:00,4708.06,4708.32,4692.46,4708.27,5859
2026-04-01 04:30:00+00:00,4708.26,4708.26,4681.47,4687.85,5773
2026-04-01 04:45:00+00:00,4687.85,4697.0,4686.13,4692.77,5471
2026-04-01 05:00:00+00:00,4692.73,4700.48,4686.84,4693.88,5281
2026-04-01 05:15:00+00:00,4693.88,4697.64,4683.45,4687.84,3678
2026-04-01 05:30:00+00:00,4687.84,4690.33,4678.28,4681.71,4749
2026-04-01 05:45:00+00:00,4681.71,4689.63,4678.49,4684.46,4309
2026-04-01 06:00:00+00:00,4684.46,4692.66,4682.66,4689.62,4281
2026-04-01 06:15:00+00:00,4689.62,4694.22,4684.47,4687.44,3547
2026-04-01 06:30:00+00:00,4687.39,4688.71,4683.12,4687.03,2769
2026-04-01 06:45:00+00:00,4687.03,4688.7,4679.73,4681.91,3200
2026-04-01 07:00:00+00:00,4681.91,4682.05,4673.03,4673.91,3204
2026-04-01 07:15:00+00:00,4673.91,4674.09,4667.06,4672.43,3313
2026-04-01 07:30:00+00:00,4672.43,4677.06,4669.03,4676.91,2787
2026-04-01 07:45:00+00:00,4676.91,4681.72,4672.94,4676.43,2571
2026-04-01 08:00:00+00:00,4676.45,4684.79,4674.9,4682.89,2980
2026-04-01 08:15:00+00:00,4682.89,4690.11,4680.55,4686.28,3570
2026-04-01 08:30:00+00:00,4686.28,4703.52,4686.28,4702.18,4659
2026-04-01 08:45:00+00:00,4702.18,4703.44,4683.77,4684.15,4342
2026-04-01 09:00:00+00:00,4684.2,4697.56,4682.56,4697.56,4666
2026-04-01 09:15:00+00:00,4697.56,4711.36,4692.8,4709.33,5018
2026-04-01 09:30:00+00:00,4709.27,4712.65,4702.29,4708.55,5517
2026-04-01 09:45:00+00:00,4708.55,4733.22,4708.49,4730.62,6209
2026-04-01 10:00:00+00:00,4730.62,4732.71,4714.35,4715.31,5947
2026-04-01 10:15:00+00:00,4715.29,4725.62,4713.04,4723.0,4903
2026-04-01 10:30:00+00:00,4723.0,4747.67,4722.07,4730.78,6759
2026-04-01 10:45:00+00:00,4730.78,4732.77,4709.61,4712.95,6871
2026-04-01 11:00:00+00:00,4712.95,4726.46,4710.5,4719.24,5663
2026-04-01 11:15:00+00:00,4719.24,4735.79,4717.08,4730.69,4840
2026-04-01 11:30:00+00:00,4730.69,4740.55,4726.32,4731.96,4772
2026-04-01 11:45:00+00:00,4731.96,4732.5,4726.54,4728.64,4004
2026-04-01 12:00:00+00:00,4728.64,4730.24,4717.86,4718.21,4085
2026-04-01 12:15:00+00:00,4718.21,4723.95,4713.92,4719.41,4081
2026-04-01 12:30:00+00:00,4719.41,4722.82,4713.26,4719.09,4668
2026-04-01 12:45:00+00:00,4719.2,4727.75,4719.15,4723.16,4424
2026-04-01 13:00:00+00:00,4723.18,4724.41,4715.47,4715.62,3641
2026-04-01 13:15:00+00:00,4715.62,4729.27,4715.01,4728.29,3812
2026-04-01 13:30:00+00:00,4728.29,4736.24,4726.17,4734.97,3695
2026-04-01 13:45:00+00:00,4734.97,4738.85,4728.12,4731.39,3750
2026-04-01 14:00:00+00:00,4731.39,4740.52,4728.17,4736.84,4265
2026-04-01 14:15:00+00:00,4736.84,4746.35,4736.59,4745.13,3754
2026-04-01 14:30:00+00:00,4745.13,4763.05,4744.84,4760.57,5150
2026-04-01 14:45:00+00:00,4760.57,4761.4,4752.44,4752.44,4984
2026-04-01 15:00:00+00:00,4752.44,4753.69,4739.41,4743.47,4461
2026-04-01 15:15:00+00:00,4743.47,4745.41,4724.5,4735.99,5830
2026-04-01 15:30:00+00:00,4735.99,4753.62,4732.35,4748.18,5538
2026-04-01 15:45:00+00:00,4748.18,4753.71,4724.39,4724.78,8680
2026-04-01 16:00:00+00:00,4724.78,4733.65,4716.2,4731.64,7684
2026-04-01 16:15:00+00:00,4731.64,4742.42,4730.82,4736.2,6014
2026-04-01 16:30:00+00:00,4736.2,4749.58,4730.71,4743.41,8274
2026-04-01 16:45:00+00:00,4743.41,4748.52,4733.96,4738.19,7206
2026-04-01 17:00:00+00:00,4738.19,4746.96,4724.25,4744.52,7944
2026-04-01 17:15:00+00:00,4744.52,4754.87,4730.53,4742.14,7334
